domain,timestamp,resource,response_code,response_length
cad49.cadvision.com,[01/Jun/1995:00:53:19-0600],/~lowey/webville/icons/blank_32.gif,200,167.0
130.89.250.24,[01/Jun/1995:02:45:12-0600],/~lowey/webville/icons/south_32.gif,200,210.0
130.54.25.198,[01/Jun/1995:03:29:56-0600],/~macphed/finite/fe_resources/node92.html,200,1668.0
148.81.17.41,[01/Jun/1995:04:02:17-0600],/~friesend/tolkien/rootpage.html,200,461.0
anumsun6.univ-st-etienne.fr,[01/Jun/1995:04:40:30-0600],/~macphed/finite/fe_resources/node58.html,200,1707.0
itlab56.cqu.edu.au,[01/Jun/1995:05:47:24-0600],/~turner/paul2.gif,200,97788.0
139.103.32.55,[01/Jun/1995:06:23:57-0600],/~lowey/Saskatoon/index.html,200,1503.0
anumsun6.univ-st-etienne.fr,[01/Jun/1995:06:51:13-0600],/~macphed/finite/fe_resources/node83.html,200,1417.0
ppp-dial5.wchat.on.ca,[01/Jun/1995:07:36:52-0600],/~macpherc/hibs/hibs.html,200,6622.0
sask.usask.ca,[01/Jun/1995:08:10:35-0600],/~harring/,200,1423.0
atc.boeing.com,[01/Jun/1995:08:36:12-0600],/~macphed/finite/fe_resources/node24.html,200,1563.0
yak-ts1-p19.wolfe.net,[01/Jun/1995:08:50:30-0600],/~lowey/Webville/icons/map_32.gif,200,311.0
duke.usask.ca,[01/Jun/1995:09:03:27-0600],/~harring/,200,1423.0
cronos.hol.gr,[01/Jun/1995:09:16:46-0600],/~ladd/images/hline.gif,200,2424.0
gatekeeper.mitre.org,[01/Jun/1995:09:26:15-0600],/images/question_32.gif ,200,214.0
beaufix.uqss.uquebec.ca,[01/Jun/1995:09:34:27-0600],/cgi-bin/hytelnet?file=SITES2 ,200,1091.0
albert.usask.ca,[01/Jun/1995:09:39:24-0600],/ ,200,3384.0
gatekeeper.mitre.org,[01/Jun/1995:09:43:12-0600],/dcs/courses/cai/html/examples/a_relative.html ,304,0.0
broadway.sfn.saskatoon.sk.ca,[01/Jun/1995:09:47:39-0600],/~scottp/free.html,200,5759.0
crclrc.demon.co.uk,[01/Jun/1995:09:55:20-0600],/~macpherc/images/new2.gif,200,1017.0
g604.interlink.net,[01/Jun/1995:10:01:00-0600],/library/gic/v1n1/macaulay/macaulay.gif ,200,22909.0
ag59047.usask.ca,[01/Jun/1995:10:04:50-0600],/images/logo.gif ,304,0.0
andora.usask.ca,[01/Jun/1995:10:09:31-0600],/~philmic/blueback.gif,200,5912.0
mac40212.usask.ca,[01/Jun/1995:10:14:27-0600],/departments.html ,200,6060.0
heat.eng.unb.ca,[01/Jun/1995:10:22:09-0600],/~lowey/Saskatoon/about_saskatoon/maps.html,200,793.0
comp.uark.edu,[01/Jun/1995:10:27:02-0600],/cgi-bin/hytelnet?file=OTH107 ,200,1082.0
204.50.11.135,[01/Jun/1995:10:37:47-0600],/~dougallg/b_media.gif,200,699.0
sophocles.algonet.se,[01/Jun/1995:10:44:18-0600],/ ,200,3384.0
128.233.12.170,[01/Jun/1995:11:04:31-0600],/images/logo.gif ,200,2273.0
herald.usask.ca,[01/Jun/1995:11:07:21-0600],/alternate_views.html ,200,3041.0
sclinet1.shell.ca,[01/Jun/1995:11:12:46-0600],/~reevesm/images/building1.gif,200,100529.0
athena.compulink.gr,[01/Jun/1995:11:16:56-0600],/~lowey/encyclopedia/icons/bookshelf.gif,200,214.0
ag5884.usask.ca,[01/Jun/1995:11:20:17-0600],/ ,304,0.0
yellow.osc.on.ca,[01/Jun/1995:11:24:58-0600],/~scottp/conf,200,7691.0
suspects.com,[01/Jun/1995:11:31:09-0600],/cgi-bin/hytelnet ,200,1485.0
129.59.155.35,[01/Jun/1995:11:40:31-0600],/cgi-bin/hytelnet?file=SITES1A ,200,489.0
193.68.136.228,[01/Jun/1995:11:50:23-0600],/~lowey/encyclopedia/icons/index.gif,200,172.0
mac40208.usask.ca,[01/Jun/1995:11:56:45-0600],/alternate_views.html ,200,3041.0
irh20004.uqtr.uquebec.ca,[01/Jun/1995:12:04:50-0600],/cgi-bin/hytelnet ,200,1485.0
anders.usask.ca,[01/Jun/1995:12:13:38-0600],/images/logo.gif ,200,2273.0
ecs_mac_sc1008e.educ.ubc.ca,[01/Jun/1995:12:23:09-0600],/~dougallg/b_canada.gif,200,823.0
cistron.usask.ca,[01/Jun/1995:12:31:08-0600],/ ,200,3384.0
lib74079.usask.ca,[01/Jun/1995:12:39:59-0600],/images/letter_32.gif ,200,149.0
797.rahul.net,[01/Jun/1995:12:50:18-0600],/~lowey/encyclopedia/m/index.html,200,1898.0
infant1.sphs.indiana.edu,[01/Jun/1995:13:01:12-0600],/cgi-bin/hytelnet?file=US000MED ,200,4653.0
146.229.9.32,[01/Jun/1995:13:05:35-0600],/~macphed/finite/fe_resources/node52.html,200,1698.0
duke.usask.ca,[01/Jun/1995:13:09:03-0600],/~harring/symphony/contents.html,200,1598.0
str006.usask.ca,[01/Jun/1995:13:13:55-0600],/ ,200,3384.0
tburns.adm-houchens.louisville.edu,[01/Jun/1995:13:20:03-0600],/~ladd/images/new1.gif,200,116.0
ag5884.usask.ca,[01/Jun/1995:13:28:00-0600],/ ,304,0.0
lemoyne.edu,[01/Jun/1995:13:38:03-0600],/~scottp/publish.html,200,271.0
duke.usask.ca,[01/Jun/1995:13:49:24-0600],/Mosaic/NCSAMosaicHome.html ,200,2876.0
chem48009.usask.ca,[01/Jun/1995:13:58:43-0600],/search/index.shtml ,200,1107.0
pm1-01.magicnet.net,[01/Jun/1995:14:06:01-0600],/cgi-bin/hytelnet?file=US483 ,200,349.0
198.247.152.56,[01/Jun/1995:14:11:34-0600],/~scottp/publish.html,200,271.0
sachdev.usask.ca,[01/Jun/1995:14:17:18-0600],/ ,200,3384.0
132.236.132.18,[01/Jun/1995:14:23:44-0600],/~lowey/webville/icons/sound_32.gif,200,211.0
bush.elis.rug.ac.be,[01/Jun/1995:14:29:44-0600],/ ,200,3384.0
willow.usask.ca,[01/Jun/1995:14:36:45-0600],/ ,200,3384.0
soa006.usask.ca,[01/Jun/1995:14:44:59-0600],/images/logo.gif ,200,2273.0
ix-pas10-07.ix.netcom.com,[01/Jun/1995:14:49:04-0600],/~scottp/publish.html,200,271.0
acct_ast.capcon.net,[01/Jun/1995:14:54:23-0600],/images/logo_32.gif ,200,1640.0
decent.usask.ca,[01/Jun/1995:15:00:37-0600],/images/logo.gif ,304,0.0
infolink-is.isnet.net,[01/Jun/1995:15:06:49-0600],/~lowey/Saskatoon/about_saskatoon/weather.html,200,1250.0
jaeger.usask.ca,[01/Jun/1995:15:13:56-0600],/~maton/sm-antarctica.gif,200,5825.0
alice-thurman.tenet.edu,[01/Jun/1995:15:19:02-0600],/~lowey/webville/places/info_centre/index.html,200,1224.0
